Event	Sub-task	Train Data (size, pos., neg.)	Dev Data (size, pos., neg.)	Test Data (size, pos., neg.)	model name	accuracy	CM	pos. F1	SQuAD_total	SQuAD_EM	SQuAD_F1	SQuAD_Pos. EM_F1_total	SQuAD_Pos. EM	SQuAD_Pos. F1	dev_threshold	dev_N	dev_F1	dev_P	dev_R	dev_TP	dev_FP	dev_FN	N	F1	P	R	TP	FP	FN
tested_positive	age	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9973633327474073	[[5663, 8], [7, 11]]	0.5945945945945946	589.0	98.13242784380306	98.4234780499636	18.0	61.111111111111114	70.63492063492063	0.9	16.0	0.7741935483870969	0.8	0.75	12.0	3.0	4.0	18.0	0.6896551724137931	0.9090909090909091	0.5555555555555556	10.0	1.0	8.0
tested_positive	close_contact	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9841799964844437	[[5571, 56], [34, 28]]	0.3835616438356164	613.0	87.11256117455139	87.89947953080092	69.0	40.57971014492754	47.57073844030367	0.4	27.0	0.46153846153846156	0.39473684210526316	0.5555555555555556	15.0	23.0	12.0	62.0	0.38961038961038963	0.32608695652173914	0.4838709677419355	30.0	62.0	32.0
tested_positive	employer	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9811917735981719	[[5537, 49], [58, 45]]	0.45685279187817257	610.0	84.59016393442623	86.11475409836066	120.0	40.0	47.74999999999999	0.7	47.0	0.49484536082474223	0.48	0.5106382978723404	24.0	26.0	23.0	103.0	0.441988950276243	0.5128205128205128	0.3883495145631068	40.0	38.0	63.0
tested_positive	gender_male	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9813675514150114	[[5497, 69], [37, 86]]	0.6187050359712231	617.0	85.25121555915722	86.77804457383064	128.0	67.1875	74.54729298479299	0.9	67.0	0.6206896551724138	0.5769230769230769	0.6716417910447762	45.0	33.0	22.0	123.0	0.6	0.5905511811023622	0.6097560975609756	75.0	52.0	48.0
tested_positive	gender_female	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9922657760590613	[[5623, 21], [23, 22]]	0.5	597.0	94.13735343383584	94.73358857780968	46.0	47.82608695652174	55.56418219461698	0.9	29.0	0.6000000000000001	0.7142857142857143	0.5172413793103449	15.0	6.0	14.0	45.0	0.5	0.6129032258064516	0.4222222222222222	19.0	12.0	26.0
tested_positive	name	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9535946563543681	[[5050, 154], [110, 375]]	0.7396449704142012	694.0	69.88472622478386	77.09952391508591	546.0	68.68131868131869	77.85177581880885	0.1	300.0	0.7343283582089551	0.6648648648648648	0.82	246.0	124.0	54.0	485.0	0.7428571428571429	0.6716666666666666	0.8309278350515464	403.0	197.0	82.0
tested_positive	recent_travel	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9915626647917033	[[5624, 19], [29, 17]]	0.41463414634146345	597.0	92.62981574539363	93.28148679907474	50.0	34.0	41.78095238095238	0.5	35.0	0.39285714285714285	0.5238095238095238	0.3142857142857143	11.0	10.0	24.0	46.0	0.41463414634146345	0.4722222222222222	0.3695652173913043	17.0	19.0	29.0
tested_positive	relation	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9978906661979258	[[5669, 7], [5, 8]]	0.5714285714285715	589.0	98.30220713073005	98.30220713073005	11.0	72.72727272727273	72.72727272727273	0.5	1.0	0.6666666666666666	0.5	1.0	1.0	1.0	0.0	13.0	0.5714285714285715	0.5333333333333333	0.6153846153846154	8.0	7.0	5.0
tested_positive	when	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9917384426085428	[[5623, 38], [9, 19]]	0.4470588235294118	600.0	92.5	92.55555555555556	33.0	57.57575757575758	58.58585858585858	0.9	20.0	0.6	0.5	0.75	15.0	15.0	5.0	28.0	0.43750000000000006	0.3888888888888889	0.5	14.0	22.0	14.0
tested_positive	where	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.969238882053085	[[5394, 114], [61, 120]]	0.5783132530120481	650.0	75.53846153846153	78.00659340659342	237.0	51.47679324894515	58.24593128390597	0.8	110.0	0.5948275862068966	0.5655737704918032	0.6272727272727273	69.0	53.0	41.0	181.0	0.5728900255754475	0.5333333333333333	0.6187845303867403	112.0	98.0	69.0
