Event	Sub-task	Train Data (size, pos., neg.)	Dev Data (size, pos., neg.)	Test Data (size, pos., neg.)	model name	accuracy	CM	pos. F1	SQuAD_total	SQuAD_EM	SQuAD_F1	SQuAD_Pos. EM_F1_total	SQuAD_Pos. EM	SQuAD_Pos. F1	dev_threshold	dev_N	dev_F1	dev_P	dev_R	dev_TP	dev_FP	dev_FN	N	F1	P	R	TP	FP	FN
tested_positive	age	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9978906661979258	[[5663, 8], [4, 14]]	0.7000000000000001	589.0	98.64176570458405	98.96313364055298	18.0	77.77777777777777	88.29365079365078	0.9	16.0	0.7407407407407406	0.9090909090909091	0.625	10.0	1.0	6.0	18.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	12.0	6.0	6.0
tested_positive	close_contact	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9887502197222711	[[5609, 18], [46, 16]]	0.3333333333333333	593.0	90.893760539629	91.14671163575042	59.0	27.11864406779661	29.661016949152543	0.6	27.0	0.391304347826087	0.47368421052631576	0.3333333333333333	9.0	10.0	18.0	62.0	0.32258064516129037	0.4838709677419355	0.24193548387096775	15.0	16.0	47.0
tested_positive	employer	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9827737739497275	[[5539, 47], [51, 52]]	0.5148514851485149	609.0	86.37110016420361	88.08715823494147	119.0	47.05882352941177	55.841003067893816	0.8	47.0	0.5979381443298969	0.58	0.6170212765957447	29.0	21.0	18.0	103.0	0.47567567567567565	0.5365853658536586	0.42718446601941745	44.0	38.0	59.0
tested_positive	gender_male	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9852346633854807	[[5525, 41], [43, 80]]	0.6557377049180327	609.0	88.50574712643679	89.88233076903029	124.0	64.51612903225806	71.27693095435032	0.1	67.0	0.6493506493506493	0.5747126436781609	0.746268656716418	50.0	37.0	17.0	123.0	0.6734693877551021	0.5789473684210527	0.8048780487804879	99.0	72.0	24.0
tested_positive	gender_female	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9943751098611355	[[5627, 17], [15, 30]]	0.6521739130434782	592.0	95.77702702702703	96.20012870012872	44.0	68.18181818181819	73.87445887445888	0.2	29.0	0.6557377049180328	0.625	0.6896551724137931	20.0	12.0	9.0	45.0	0.6666666666666666	0.6274509803921569	0.7111111111111111	32.0	19.0	13.0
tested_positive	name	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9578133239585165	[[5058, 146], [94, 391]]	0.7651663405088063	696.0	73.5632183908046	80.55387460559879	546.0	71.7948717948718	80.70603795878525	0.2	300.0	0.7587253414264037	0.6963788300835655	0.8333333333333334	250.0	109.0	50.0	485.0	0.7673545966228892	0.7039586919104991	0.843298969072165	409.0	172.0	76.0
tested_positive	recent_travel	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9926173316927404	[[5633, 10], [32, 14]]	0.4	590.0	93.89830508474576	94.05084745762711	43.0	32.55813953488372	34.651162790697676	0.2	35.0	0.4307692307692308	0.4666666666666667	0.4	14.0	16.0	21.0	46.0	0.43037974683544306	0.5151515151515151	0.3695652173913043	17.0	16.0	29.0
tested_positive	relation	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9978906661979258	[[5669, 7], [5, 8]]	0.5714285714285715	589.0	98.47198641765705	98.5993208828523	11.0	72.72727272727273	79.54545454545455	0.5	1.0	0.0	0.0	0.0	0.0	0.0	1.0	13.0	0.5714285714285715	0.5333333333333333	0.6153846153846154	8.0	7.0	5.0
tested_positive	when	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.994199332044296	[[5642, 19], [14, 14]]	0.4590163934426229	588.0	94.72789115646259	94.72789115646259	29.0	48.275862068965516	48.275862068965516	0.3	20.0	0.6037735849056605	0.48484848484848486	0.8	16.0	17.0	4.0	28.0	0.46153846153846156	0.40540540540540543	0.5357142857142857	15.0	22.0	13.0
tested_positive	where	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9683599929688873	[[5372, 136], [44, 137]]	0.6035242290748898	661.0	74.88653555219365	77.56897918017435	248.0	56.04838709677419	63.19796466973886	0.9	110.0	0.6337448559670782	0.5789473684210527	0.7	77.0	56.0	33.0	181.0	0.6203473945409429	0.5630630630630631	0.6906077348066298	125.0	97.0	56.0
