Event	Sub-task	Train Data (size, pos., neg.)	Dev Data (size, pos., neg.)	Test Data (size, pos., neg.)	model name	accuracy	CM	pos. F1	SQuAD_total	SQuAD_EM	SQuAD_F1	SQuAD_Pos. EM_F1_total	SQuAD_Pos. EM	SQuAD_Pos. F1	dev_threshold	dev_N	dev_F1	dev_P	dev_R	dev_TP	dev_FP	dev_FN	N	F1	P	R	TP	FP	FN
tested_positive	age	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9973633327474073	[[5661, 10], [5, 13]]	0.6341463414634146	593.0	97.97639123102867	98.66297277764394	22.0	59.09090909090909	77.59740259740259	0.6	16.0	0.7272727272727272	0.7058823529411765	0.75	12.0	5.0	4.0	18.0	0.6341463414634146	0.5652173913043478	0.7222222222222222	13.0	10.0	5.0
tested_positive	close_contact	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9855862190191598	[[5586, 41], [41, 21]]	0.3387096774193548	596.0	88.42281879194631	88.81431767337807	60.0	35.0	38.888888888888886	0.6	27.0	0.39999999999999997	0.43478260869565216	0.37037037037037035	10.0	13.0	17.0	62.0	0.34426229508196715	0.35	0.3387096774193548	21.0	39.0	41.0
tested_positive	employer	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9836526630339251	[[5555, 31], [62, 41]]	0.4685714285714285	597.0	86.09715242881072	87.08755417298131	108.0	38.888888888888886	44.36360964138742	0.1	47.0	0.49523809523809526	0.4482758620689655	0.5531914893617021	26.0	32.0	21.0	103.0	0.4803921568627451	0.48514851485148514	0.47572815533980584	49.0	52.0	54.0
tested_positive	gender_male	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9855862190191598	[[5531, 35], [47, 76]]	0.6495726495726496	601.0	89.35108153078203	90.17814224968967	115.0	66.95652173913044	71.27881297446514	0.8	67.0	0.7175572519083969	0.734375	0.7014925373134329	47.0	17.0	20.0	123.0	0.6175115207373272	0.7127659574468085	0.5447154471544715	67.0	27.0	56.0
tested_positive	gender_female	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9933204429600985	[[5622, 22], [16, 29]]	0.6041666666666666	595.0	95.12605042016807	95.6906762705082	45.0	64.44444444444444	71.91005291005293	0.8	29.0	0.6071428571428571	0.6296296296296297	0.5862068965517241	17.0	10.0	12.0	45.0	0.6222222222222222	0.6222222222222222	0.6222222222222222	28.0	17.0	17.0
tested_positive	name	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9534188785375286	[[5058, 146], [119, 366]]	0.7342026078234705	683.0	70.42459736456809	76.45734938560712	535.0	68.59813084112149	76.29975631844796	0.7	300.0	0.7572815533980584	0.7358490566037735	0.78	234.0	84.0	66.0	485.0	0.7410440122824973	0.7357723577235772	0.7463917525773196	362.0	130.0	123.0
tested_positive	recent_travel	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9924415538759008	[[5634, 9], [34, 12]]	0.3582089552238805	591.0	93.4010152284264	93.6964520720866	44.0	27.272727272727273	31.24098124098124	0.1	35.0	0.3728813559322034	0.4583333333333333	0.3142857142857143	11.0	13.0	24.0	46.0	0.41463414634146345	0.4722222222222222	0.3695652173913043	17.0	19.0	29.0
tested_positive	relation	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9961328880295307	[[5660, 16], [6, 7]]	0.3888888888888889	591.0	97.12351945854483	97.23632261703328	10.0	70.0	76.66666666666667	0.7	1.0	0.6666666666666666	0.5	1.0	1.0	1.0	0.0	13.0	0.4242424242424242	0.35	0.5384615384615384	7.0	13.0	6.0
tested_positive	when	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9949024433116541	[[5647, 14], [15, 13]]	0.4727272727272727	588.0	95.40816326530613	95.46485260770976	29.0	44.827586206896555	45.97701149425288	0.3	20.0	0.5454545454545454	0.5	0.6	12.0	12.0	8.0	28.0	0.4482758620689655	0.43333333333333335	0.4642857142857143	13.0	17.0	15.0
tested_positive	where	(14615, {'age': 39, 'close_contact': 110, 'employer': 171, 'gender_male': 251, 'gender_female': 108, 'name': 1034, 'recent_travel': 83, 'relation': 86, 'when': 56, 'where': 370}, {'age': 14576, 'close_contact': 14505, 'employer': 14444, 'gender_male': 14364, 'gender_female': 14507, 'name': 13581, 'recent_travel': 14532, 'relation': 14529, 'when': 14559, 'where': 14245})	(3363, {'age': 16, 'close_contact': 27, 'employer': 47, 'gender_male': 67, 'gender_female': 29, 'name': 300, 'recent_travel': 35, 'relation': 1, 'when': 20, 'where': 110}, {'age': 3347, 'close_contact': 3336, 'employer': 3316, 'gender_male': 3296, 'gender_female': 3334, 'name': 3063, 'recent_travel': 3328, 'relation': 3362, 'when': 3343, 'where': 3253})	(5689, {'age': 18, 'close_contact': 62, 'employer': 103, 'gender_male': 123, 'gender_female': 45, 'name': 485, 'recent_travel': 46, 'relation': 13, 'when': 28, 'where': 181}, {'age': 5671, 'close_contact': 5627, 'employer': 5586, 'gender_male': 5566, 'gender_female': 5644, 'name': 5204, 'recent_travel': 5643, 'relation': 5676, 'when': 5661, 'where': 5508})	MultiTaskBertForCovidEntityClassification	0.9725786605730357	[[5428, 80], [76, 105]]	0.5737704918032787	620.0	77.41935483870968	78.7383512544803	209.0	51.196172248803826	55.10898458266878	0.4	110.0	0.5741626794258374	0.6060606060606061	0.5454545454545454	60.0	39.0	50.0	181.0	0.5714285714285713	0.5578947368421052	0.585635359116022	106.0	84.0	75.0
